INC_Name,INC_ST_Unit,INC_Nbr,Acres,Cause,Start,End,LAT,LONG,Fuels1,Cost,Version,IC,IC_Type,Monitor,Confine,Point_Prot,Full_Suppression,Threatened,Damaged,Destroyed,T1-C,T2-C,T2IA-C,T1-H,T2-H,T3-H,T1-E,T2-E,T3-E,T4-E,T5-E,T6-E,DOZR,WTDR,Personnel,State,Unit,Unit_Nbr,Agency,Agency_Nbr,Zone,DispCtr,,
ROACH,AZ-A3S,005404,335,Unknown,"Jul 7, 2017 9:41:00 PM","Jul 13, 2017 7:06:28 PM",32.9219,-110.7319,Timber (Litter and Understory),"1,000,000",,,3,0,0,0,100,180,0,14,0,4,2,2,2,1,0,0,7,0,0,7,2,3,236,AZ,A3S,005404,AZS,5,SEZ,TDC,,
Cedar,AZ-TNF,001061,1120,Lightning/Natural,"Jul 8, 2017 12:57:00 PM","Jul 27, 2017 6:25:34 PM",34.0983,-111.7916,Tall Grass (2.5 feet),"25,750",,Pierson,1 (IMT),0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,AZ,TNF,001061,USFS,7,CWZ,PHC,,
DIABLO,AZ-A1S,005449,486,Lightning/Natural,"Jul 9, 2017 4:50:00 PM","Jul 9, 2017 9:57:38 PM",35.1303,-111.1883,Tall Grass (2.5 feet),"75,000",,,5,0,0,0,100,0,0,0,0,3,0,0,0,2,0,0,3,0,0,2,0,1,81,AZ,A1S,005449,AZS,5,CWZ,ADC,,
Hyde,AZ-PNF,001156,18072,Lightning/Natural,"Jul 11, 2017 5:08:00 PM","Aug 10, 2017 3:59:21 PM",34.8322,-112.8733,Timber (Grass and Understory),"500,000",,,3,100,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,68,AZ,PNF,001156,USFS,7,CWZ,PDC,,
FIFE,AZ-A3S,005500,1436,Lightning/Natural,"Jul 12, 2017 12:01:00 AM","Jul 14, 2017 7:11:36 PM",31.9119,-109.4489,Tall Grass (2.5 feet),"417,000",,,3,0,0,0,100,40,0,0,1,3,2,1,1,1,0,0,0,0,0,7,1,1,201,AZ,A3S,005500,AZS,5,SEZ,TDC,,
Bull,AZ-FTA,000679,660,Lightning/Natural,"Jul 12, 2017 2:48:00 PM","Aug 24, 2017 4:04:41 PM",34.2406,-110.7333,Timber (Litter and Understory),"150,000",,,4,0,100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,29,AZ,FTA,000679,BIA,1,WMZ,SDC,,
Davis,AZ-TNF,001120,1161,Unknown,"Jul 12, 2017 7:14:00 PM","Jul 19, 2017 5:56:01 PM",33.5467,-111.1864,Short Grass (1 foot),"7,000",,,4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AZ,TNF,001120,USFS,7,CWZ,PHC,,
PINE HOLLOW,AZ-KNF,000644,4712,Lightning/Natural,"Jul 18, 2017 4:44:00 PM","Aug 17, 2017 4:32:56 PM",36.5850,-112.3756,Timber (Grass and Understory),"80,000",,Day,1 (IMT),0,20,0,80,373,0,0,7,5,1,2,0,3,0,0,18,0,0,14,4,6,615,AZ,KNF,000644,USFS,7,NAZ,WDC,,
SPUD ROCK,AZ-SAP,000754,1,Unknown,"Jul 19, 2017 5:12:00 PM","Aug 24, 2017 6:50:32 PM",32.2256,-110.5597,Light Logging Slash,"10,000",,,5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,AZ,SAP,000754,NPS,4,SEZ,TDC,,
ONE BRAVO,AZ-FHQ,000995,370,Human,"Sep 14, 2017 7:03:00 PM","Sep 15, 2017 3:20:14 PM",31.5406,-110.3486,Tall Grass (2.5 feet),"15,000",,,3,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,12,AZ,FHQ,000995,OTH,9,SEZ,TDC,,
33 Springs,AZ-ASF,001091,1878,Lightning/Natural,"Oct 6, 2017 2:10:00 PM","Oct 24, 2017 6:07:16 PM",34.4778,-111.0872,Timber (Litter and Understory),"250,000",,Miller,3,0,0,0,100,9,0,0,1,,,,,,,,3,,,9,3,,130,AZ,ASF,001091,USFS,7,WMZ,SDC,,
TRANSFER STATION,AZ-A2S,006152,993,Lightning/Natural,"Oct 19, 2017 2:00:00 PM","Oct 23, 2017 5:42:51 PM",34.1083,-109.3339,Short Grass (1 foot),"89,552",,,4,0,0,0,100,66,0,0,0,0,0,0,0,0,1,0,2,0,0,10,0,0,21,AZ,A2S,006152,AZS,5,CWZ,ADC,,
CORNFIELD,AZ-A3S,006287,376,Human,"Nov 25, 2017 2:05:00 PM","Nov 27, 2017 4:30:24 PM",31.9197,-110.4028,Short Grass (1 foot),"25,000",,,4,0,0,0,100,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,63,AZ,A3S,006287,AZS,5,SEZ,TDC,,
